source,Si/Al,Na/Al,Ca/Si,OH/Al,Fine_aggregate_to_binder,Coarse_aggregate_to_binder,Solid_type,Activator_binder,NaOH_molarity,Water_in_sodium silicate,Humidity,Superplasticiser_dosage,Curing_temperature (C),Curing_age (d),CS (MPa)
Statistical analysis of fly ash and slag blended geopolymer concrete,2.650179989,1.179648789,0.260891562,0.420560534,2.15,3.03,concrete,0.45,8,0.559,0.65,144,30,28,33.83
,2.736057715,1.310409953,0.252702855,0.466885776,2.15,3.03,concrete,0.5,8,0.559,0.65,144,30,28,36.19
,2.821269723,1.441870696,0.245070363,0.514119357,2.15,3.03,concrete,0.55,8,0.559,0.65,144,30,28,31.11
,2.90714745,1.572631859,0.237830935,0.560444599,2.15,3.03,concrete,0.6,8,0.559,0.65,144,30,28,25.71
,2.650275091,1.17954885,0.2608822,0.420430771,1.93,2.3,concrete,0.45,8,0.559,0.65,168,30,28,36.69
,2.73586751,1.310609833,0.252720424,0.467145301,1.93,2.3,concrete,0.5,8,0.559,0.65,168,30,28,38.16
,2.821459929,1.441670816,0.245053842,0.513859831,1.93,2.3,concrete,0.55,8,0.559,0.65,168,30,28,26.17
,2.907052347,1.572731799,0.237838716,0.560574362,1.93,2.3,concrete,0.6,8,0.559,0.65,168,30,28,25.11
,2.650046845,1.179788705,0.260904669,0.420742201,1.69,2.16,concrete,0.45,8,0.559,0.65,180,30,28,33.81
,2.735791428,1.310689785,0.252727452,0.467249111,1.69,2.16,concrete,0.5,8,0.559,0.65,180,30,28,38.96
,2.821536011,1.441590864,0.245047234,0.513756021,1.69,2.16,concrete,0.55,8,0.559,0.65,180,30,28,25.71
,2.907280594,1.572491944,0.237820043,0.560262931,1.69,2.16,concrete,0.6,8,0.559,0.65,180,30,28,20.76
,2.626330809,1.211855105,0.331933129,0.432042515,2.15,3.03,concrete,0.45,8,0.559,0.65,144,30,28,42.32
,2.714553136,1.34618626,0.321145382,0.479632511,2.15,3.03,concrete,0.5,8,0.559,0.65,144,30,28,47.92
,2.802091569,1.481236093,0.311112675,0.528155645,2.15,3.03,concrete,0.55,8,0.559,0.65,144,30,28,46.87
,2.890313897,1.615567247,0.301616445,0.575745641,2.15,3.03,concrete,0.6,8,0.559,0.65,144,30,28,43.38
,2.626428508,1.211752437,0.331920782,0.43190921,1.93,2.3,concrete,0.45,8,0.559,0.65,168,30,28,46.08
,2.714357738,1.346391596,0.3211685,0.479899122,1.93,2.3,concrete,0.5,8,0.559,0.65,168,30,28,51.22
,2.802286968,1.481030756,0.311090981,0.527889034,1.93,2.3,concrete,0.55,8,0.559,0.65,168,30,28,44.67
,2.890216198,1.615669916,0.301626641,0.575878946,1.93,2.3,concrete,0.6,8,0.559,0.65,168,30,28,46.57
,2.62619403,1.211998841,0.331950417,0.432229143,1.69,2.16,concrete,0.45,8,0.559,0.65,180,30,28,45.88
,2.714279579,1.346473731,0.321177748,0.480005766,1.69,2.16,concrete,0.5,8,0.559,0.65,180,30,28,50.69
,2.802365127,1.480948621,0.311082305,0.52778239,1.69,2.16,concrete,0.55,8,0.559,0.65,180,30,28,41.85
,2.890450676,1.615423512,0.301602172,0.575559014,1.69,2.16,concrete,0.6,8,0.559,0.65,180,30,28,45.68
,2.601142836,1.245869349,0.408377142,0.444169047,2.15,3.03,concrete,0.45,8,0.559,0.65,144,30,28,55.37
,2.69184138,1.383970899,0.394617337,0.493094795,2.15,3.03,concrete,0.5,8,0.559,0.65,144,30,28,59.79
,2.781836834,1.522811299,0.381851036,0.542979872,2.15,3.03,concrete,0.55,8,0.559,0.65,144,30,28,51.61
,2.872535378,1.660912848,0.369794324,0.59190562,2.15,3.03,concrete,0.6,8,0.559,0.65,144,30,28,46.68
,2.601243277,1.245763799,0.408361373,0.444032,1.93,2.3,concrete,0.45,8,0.559,0.65,168,30,28,56.86
,2.691640497,1.384181999,0.394646788,0.493368889,1.93,2.3,concrete,0.5,8,0.559,0.65,168,30,28,60.38
,2.782037717,1.522600199,0.381823464,0.542705778,1.93,2.3,concrete,0.55,8,0.559,0.65,168,30,28,46.48
,2.872434937,1.661018399,0.369807254,0.592042667,1.93,2.3,concrete,0.6,8,0.559,0.65,168,30,28,47.57
,2.601002218,1.246017119,0.40839922,0.444360913,1.69,2.16,concrete,0.45,8,0.559,0.65,180,30,28,48.91
,2.691560144,1.384266439,0.39465857,0.493478526,1.69,2.16,concrete,0.5,8,0.559,0.65,180,30,28,58.53
,2.78211807,1.522515759,0.381812436,0.54259614,1.69,2.16,concrete,0.55,8,0.559,0.65,180,30,28,48.45
,2.872675996,1.660765078,0.369776222,0.591713754,1.69,2.16,concrete,0.6,8,0.559,0.65,180,30,28,47.64
,2.650179989,1.179648789,0.260891562,0.420560534,2.15,3.03,concrete,0.45,8,0.559,0.65,144,60,28,41.53
,2.736057715,1.310409953,0.252702855,0.466885776,2.15,3.03,concrete,0.5,8,0.559,0.65,144,60,28,42.56
,2.821269723,1.441870696,0.245070363,0.514119357,2.15,3.03,concrete,0.55,8,0.559,0.65,144,60,28,33.94
,2.90714745,1.572631859,0.237830935,0.560444599,2.15,3.03,concrete,0.6,8,0.559,0.65,144,60,28,28.58
,2.650275091,1.17954885,0.2608822,0.420430771,1.93,2.3,concrete,0.45,8,0.559,0.65,168,60,28,40.41
,2.73586751,1.310609833,0.252720424,0.467145301,1.93,2.3,concrete,0.5,8,0.559,0.65,168,60,28,43.5
,2.821459929,1.441670816,0.245053842,0.513859831,1.93,2.3,concrete,0.55,8,0.559,0.65,168,60,28,31.24
,2.907052347,1.572731799,0.237838716,0.560574362,1.93,2.3,concrete,0.6,8,0.559,0.65,168,60,28,26.89
,2.650046845,1.179788705,0.260904669,0.420742201,1.69,2.16,concrete,0.45,8,0.559,0.65,180,60,28,38.63
,2.735791428,1.310689785,0.252727452,0.467249111,1.69,2.16,concrete,0.5,8,0.559,0.65,180,60,28,44.49
,2.821536011,1.441590864,0.245047234,0.513756021,1.69,2.16,concrete,0.55,8,0.559,0.65,180,60,28,35.2
,2.907280594,1.572491944,0.237820043,0.237820043,1.69,2.16,concrete,0.6,8,0.559,0.65,180,60,28,29.46
,2.626330809,1.211855105,0.331933129,0.331933129,2.15,3.03,concrete,0.45,8,0.559,0.65,144,60,28,55.57
,2.714553136,1.34618626,0.321145382,0.321145382,2.15,3.03,concrete,0.5,8,0.559,0.65,144,60,28,57.37
,2.802091569,1.481236093,0.311112675,0.311112675,2.15,3.03,concrete,0.55,8,0.559,0.65,144,60,28,53.39
,2.890313897,1.615567247,0.301616445,0.301616445,2.15,3.03,concrete,0.6,8,0.559,0.65,144,60,28,51.22
,2.626428508,1.211752437,0.331920782,0.331920782,1.93,2.3,concrete,0.45,8,0.559,0.65,168,60,28,58.8
,2.714357738,1.346391596,0.3211685,0.3211685,1.93,2.3,concrete,0.5,8,0.559,0.65,168,60,28,62.29
,2.802286968,1.481030756,0.311090981,0.311090981,1.93,2.3,concrete,0.55,8,0.559,0.65,168,60,28,58.93
,2.890216198,1.615669916,0.301626641,0.301626641,1.93,2.3,concrete,0.6,8,0.559,0.65,168,60,28,56.64
